chunk_id,text,entity1,entity2,relationship,score,description1,description2
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",MANCOZEB,APPLE SCAB,treated with,8,"Here is a one-sentence description of ""Mancozeb"" based on the provided context:

Mancozeb is a protectant fungicide that can be applied every 7-10 days to help control and prevent apple scab, providing full coverage on both leaf tops and undersides.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",CAPTAN,APPLE SCAB,treated with,8,"Here is a one-sentence description of 'CAPTAN' based on the context:

Captan is a protectant fungicide that can be used to treat powdery mildew and apple scab, typically applied every 7-10 days in combination with other fungicides to ensure full coverage on leaf tops and undersides.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",HALF-INCH GREEN TIP,APPLE SCAB,stage of,8,"Here is a one-sentence description of 'HALF-INCH GREEN TIP': The timing of early treatment for Apple Scab begins at the ""half-inch green tip"" stage, when the first small green leaf tissue appears, to prevent the fungus from establishing and becoming harder to control.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:","HERE ARE THE EXTRACTED ENTITIES AND RELATIONSHIPS:

APPLE",SCAB,affected by,9,"HERE ARE THE EXTRACTED ENTITIES AND RELATIONSHIPS: APPLE refers to a entity, specifically a type of fruit or tree, and is primary related to various entities and relationships related to its disease prevention, treatment, and resistance, including Apple Scab and Cedar-Apple Rust.","SCAB refers to Apple Scab, a fungal disease that affects apple trees, characterized by the formation of olive-green to brown lesions on leaves, typically affecting trees at the ""half-inch green tip"" stage or later."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",APPLE,HALF-INCH GREEN TIP,stage,8,"Here is a one-sentence description of 'APPLE' solely based on the context provided:

APPLE is a fruit tree susceptible to diseases such as Apple Scab and Cedar-Apple Rust, requiring timely treatments, proper pruning, and resistant varieties to prevent infection.","Here is a one-sentence description of 'HALF-INCH GREEN TIP': The timing of early treatment for Apple Scab begins at the ""half-inch green tip"" stage, when the first small green leaf tissue appears, to prevent the fungus from establishing and becoming harder to control."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",FUNGICIDE,APPLE SCAB,treats,9,"Here is a one-sentence description of 'FUNGICIDE' based on the provided context:

A fungicide is a chemical applied to plants to prevent or control fungal diseases, such as apple scab, cedar-apple rust, and powdery mildew, by inhibiting the growth and development of fungal spores.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",MYCLOBUTANIL,APPLE SCAB,treats,8,"Here is a one-sentence description of 'Myclobutanil' based on the provided context:

Myclobutanil is a curative spray fungicide that is used within 72 hours of spotting new apple scab lesions, and is often tank-mixed with a protectant to ensure effective control.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",MANCOZEB,APPLE SCAB,treats,8,"Here is a one-sentence description of ""Mancozeb"" based on the provided context:

Mancozeb is a protectant fungicide that can be applied every 7-10 days to help control and prevent apple scab, providing full coverage on both leaf tops and undersides.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",CAPTAN,APPLE SCAB,treats,8,"Here is a one-sentence description of 'CAPTAN' based on the context:

Captan is a protectant fungicide that can be used to treat powdery mildew and apple scab, typically applied every 7-10 days in combination with other fungicides to ensure full coverage on leaf tops and undersides.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",BACILLUS SUBTILIS,APPLE SCAB,treats,7,"Here is a one-sentence description of 'BACILLUS SUBTILIS':

Bacillus subtilis is a biological product used in apple scab treatment options, offering added protection when mixed with protectant fungicides or curative sprays.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",CLADOSPORIUM CLADOSPORIOIDES,APPLE SCAB,treats,7,"Here is a one-sentence description of Cladosporium cladosporioides:

Cladosporium cladosporioides is a biological product used as a fungal biocontrol agent to provide added protection against apple scab, a common fungal disease.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_1," 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o 
Curative sprays like myclobutanil used within 72 hours of spoƫng new lesions—
always tank-mix with a protectant. 
o 
Biological products containing Bacillus subtilis or Cladosporium cladosporioides can 
be mixed in for added protection. 
 
Prevention of Apple Scab: 
o 
Rake up and burn or bury fallen leaves each autumn, or spray them with urea to 
speed decomposition. 
o 
Prune to open the canopy so sun and wind dry dew quickly. 
o 
Plant scab-resistant varieties such as ‘Liberty’ or ‘Goldrush’ when replacing old trees. 
 
 Cedar-Apple Rust 
 
Description of Cedar-Apple Rust:",LIBERTY,APPLE SCAB,resistant to,9,'Liberty' is a scab-resistant variety of apple tree.,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
